Year,ESG_Sentences,N_Asp_Sentences,N_Ops_Sentences,NOS_Overall,NOS_Aspirational,NOS_Operational,ARG,Emissions,DeltaEmit_YoY_%,EPD,NDI,Impact_Pct,Financial_Pct,DM_Balance,CSRD_Flag,commitment_claims_density,operational_delivery_density,Greenwashing_Ratio,NVI,KeyBERT_Top10
2019,1263,155,253,0.149269,0.178031,0.029432,0.074299,78,0.0,-0.0,0.03715,26.52,18.53,7.99,GREEN,18.0023,4.512,3.9899,0.599188,
2020,1246,201,288,0.146665,0.210324,0.067842,0.071241,75,3.8462,-0.646487,-0.287623,25.76,20.14,5.62,GREEN,18.0067,5.5115,3.2671,0.531299,
2021,763,166,170,0.100217,0.190648,0.039488,0.07558,77,-2.6667,0.48793,0.281755,26.34,23.46,2.88,GREEN,22.1311,8.7934,2.5168,0.431299,
2022,940,169,236,0.148297,0.152819,0.092391,0.030214,76,1.2987,-0.254052,-0.111919,30.74,27.02,3.72,GREEN,19.7997,8.7688,2.258,0.386121,
2023,1123,186,289,0.152102,0.163462,0.130709,0.016377,74,2.6316,-0.482563,-0.233093,31.34,26.09,5.25,GREEN,20.3656,8.7715,2.3218,0.397915,
2024,1814,285,400,-0.1181,-0.048117,-0.14551,0.048696,71,4.0541,-0.670042,-0.310673,20.07,23.87,3.8,GREEN,18.1535,5.078,3.5749,0.562835,
2025,1897,304,433,-0.125999,-0.085101,-0.118114,0.016506,71,0.0,-0.0,0.008253,20.93,26.36,5.43,GREEN,18.3436,5.2957,3.4639,0.551958,
