Year,Greenwashing_Ratio,commitment_claims_density,operational_delivery_density
2019,3.9899,18.0023,4.512
2020,3.2671,18.0067,5.5115
2021,2.5168,22.1311,8.7934
2022,2.258,19.7997,8.7688
2023,2.3218,20.3656,8.7715
2024,3.5749,18.1535,5.078
2025,3.4639,18.3436,5.2957
