Year,NOS_Aspirational,NOS_Operational,ARG,NDI
2019,0.178031,0.029432,0.074299,0.03715
2020,0.210324,0.067842,0.071241,-0.287623
2021,0.190648,0.039488,0.07558,0.281755
2022,0.152819,0.092391,0.030214,-0.111919
2023,0.163462,0.130709,0.016377,-0.233093
2024,-0.048117,-0.14551,0.048696,-0.310673
2025,-0.085101,-0.118114,0.016506,0.008253
