Year,NOS_Overall,NOS_Aspirational,NOS_Operational,ESG_Sentences
2019,0.149269,0.178031,0.029432,1263
2020,0.146665,0.210324,0.067842,1246
2021,0.100217,0.190648,0.039488,763
2022,0.148297,0.152819,0.092391,940
2023,0.152102,0.163462,0.130709,1123
2024,-0.1181,-0.048117,-0.14551,1814
2025,-0.125999,-0.085101,-0.118114,1897
