Year,ARG,EPD,NDI,NOS_Aspirational,NOS_Operational,DeltaEmit_YoY_%
2019,0.074299,-0.0,0.03715,0.178031,0.029432,0.0
2020,0.071241,-0.646487,-0.287623,0.210324,0.067842,3.8462
2021,0.07558,0.48793,0.281755,0.190648,0.039488,-2.6667
2022,0.030214,-0.254052,-0.111919,0.152819,0.092391,1.2987
2023,0.016377,-0.482563,-0.233093,0.163462,0.130709,2.6316
2024,0.048696,-0.670042,-0.310673,-0.048117,-0.14551,4.0541
2025,0.016506,-0.0,0.008253,-0.085101,-0.118114,0.0
