Year,NOS_Overall,DeltaEmit_YoY_%,NDI,ARG,EPD
2019,0.149269,0.0,0.03715,0.074299,-0.0
2020,0.146665,3.8462,-0.287623,0.071241,-0.646487
2021,0.100217,-2.6667,0.281755,0.07558,0.48793
2022,0.148297,1.2987,-0.111919,0.030214,-0.254052
2023,0.152102,2.6316,-0.233093,0.016377,-0.482563
2024,-0.1181,4.0541,-0.310673,0.048696,-0.670042
2025,-0.125999,0.0,0.008253,0.016506,-0.0
