Year,dBalance,dImpact,dFinancial
2020,-2.37,-0.76,1.61
2021,-2.74,0.58,3.32
2022,0.84,4.4,3.56
2023,1.53,0.6,-0.93
2024,-1.45,-11.27,-2.22
2025,1.63,0.86,2.49
