Year,dNOS,dARG,dNDI,dEmi
2020,-0.042063,0.063217,-0.455106,-7.0
2021,0.051821,0.021219,0.497324,0.0
2022,-0.043626,0.039695,0.318729,2.0
2023,-0.151105,0.027904,-0.784929,-22.0
2024,-0.082535,-0.032059,-0.01603,-22.0
2025,0.034743,-0.006183,-0.003092,-12.0
