Year,Greenwashing_Ratio,NVI
2019,4.9386,0.663219
2020,6.8553,0.745394
2021,5.4273,0.688827
2022,7.1819,0.755558
2023,1.8307,0.293467
2024,2.4888,0.426735
2025,2.0919,0.35314
