Year,NOS_Aspirational,NOS_Operational,ARG,NDI
2019,0.122377,0.37595,-0.126786,-0.063393
2020,0.140756,0.267894,-0.063569,-0.518499
2021,0.216188,0.300888,-0.04235,-0.021175
2022,0.218657,0.223968,-0.002655,0.297554
2023,0.079251,0.028753,0.025249,-0.487375
2024,-0.026041,-0.012422,-0.00681,-0.503405
2025,-0.007856,0.018131,-0.012993,-0.506497
