Year,Impact_Pct,Financial_Pct,Neutral_Pct,CSRD_Flag,N_ESG_Sents
2019,31.83,30.05,64.89,GREEN,732
2020,28.17,26.68,66.04,GREEN,536
2021,30.03,27.99,64.78,GREEN,636
2022,32.48,28.5,63.69,GREEN,628
2023,22.67,25.32,69.51,GREEN,869
2024,21.51,24.57,68.93,GREEN,1339
2025,23.25,25.45,67.96,GREEN,955
