Year,NOS_Overall,NOS_Aspirational,NOS_Operational,ESG_Sentences
2019,0.196435,0.122377,0.37595,732
2020,0.154372,0.140756,0.267894,536
2021,0.206193,0.216188,0.300888,636
2022,0.162567,0.218657,0.223968,628
2023,0.011462,0.079251,0.028753,869
2024,-0.071073,-0.026041,-0.012422,1339
2025,-0.03633,-0.007856,0.018131,955
