Year,NVI,Greenwashing_Ratio,commitment_claims_density,operational_delivery_density
2019,0.663219,4.9386,24.4687,4.9546
2020,0.745394,6.8553,25.2117,3.6777
2021,0.688827,5.4273,27.3514,5.0396
2022,0.755558,7.1819,30.5216,4.2498
2023,0.293467,1.8307,16.6671,9.1041
2024,0.426735,2.4888,16.1296,6.4809
2025,0.35314,2.0919,17.3574,8.2976
