Year,DM_Balance,CSRD_Flag,N_ESG_Sents
2019,1.78,GREEN,732
2020,1.49,GREEN,536
2021,2.04,GREEN,636
2022,3.98,GREEN,628
2023,2.65,GREEN,869
2024,3.06,GREEN,1339
2025,2.2,GREEN,955
