Year,Impact_Pct,Financial_Pct,Neutral_Pct,CSRD_Flag,N_ESG_Sents
2019,28.33,21.19,68.48,GREEN,939
2020,34.08,25.65,61.1,GREEN,1162
2021,31.45,24.74,63.68,GREEN,760
2022,31.28,24.24,64.29,GREEN,924
2023,28.19,21.01,67.2,GREEN,933
2024,27.14,19.33,68.9,GREEN,807
2025,25.67,18.15,71.67,GREEN,639
