Year,NOS_Overall,DeltaEmit_YoY_%,NDI,ARG,EPD
2019,0.127045,0.0,0.029197,0.058394,-0.0
2020,0.195948,1.1292,-0.078986,0.064104,-0.222077
2021,0.137033,-0.2538,0.047832,0.044947,0.050716
2022,0.188604,2.5316,-0.216865,0.033344,-0.467073
2023,0.153406,0.0,0.038868,0.077737,-0.0
2024,0.111069,-2.5974,0.279838,0.082377,0.477299
2025,0.119268,0.0,0.012142,0.024284,-0.0
