Year,ARG,EPD,NDI,NOS_Aspirational,NOS_Operational,DeltaEmit_YoY_%
2019,0.058394,-0.0,0.029197,0.196621,0.079833,0.0
2020,0.064104,-0.222077,-0.078986,0.269952,0.141743,1.1292
2021,0.044947,0.050716,0.047832,0.198968,0.109074,-0.2538
2022,0.033344,-0.467073,-0.216865,0.211213,0.144526,2.5316
2023,0.077737,-0.0,0.038868,0.224305,0.068831,0.0
2024,0.082377,0.477299,0.279838,0.252231,0.087476,-2.5974
2025,0.024284,-0.0,0.012142,0.120754,0.072186,0.0
