Year,Greenwashing_Ratio,NVI
2019,4.0213,0.601695
2020,6.3555,0.728094
2021,4.2206,0.6169
2022,3.5945,0.564693
2023,2.9437,0.492865
2024,1.965,0.325453
2025,1.796,0.2847
