Year,DM_Balance,CSRD_Flag,N_ESG_Sents
2019,7.14,GREEN,939
2020,8.43,GREEN,1162
2021,6.71,GREEN,760
2022,7.04,GREEN,924
2023,7.18,GREEN,933
2024,7.81,GREEN,807
2025,7.52,GREEN,639
