Year,dBalance,dImpact,dFinancial
2020,1.29,5.75,4.46
2021,-1.72,-2.63,-0.91
2022,0.33,-0.17,-0.5
2023,0.14,-3.09,-3.23
2024,0.63,-1.05,-1.68
2025,-0.29,-1.47,-1.18
