Year,Emissions,DeltaEmit_YoY_%
2019,79.7,0.0
2020,78.8,1.1292
2021,79.0,-0.2538
2022,77.0,2.5316
2023,77.0,0.0
2024,79.0,-2.5974
2025,79.0,0.0
