pair,pearson_r,pearson_p,spearman_rho,N
NDI vs Greenwashing_Ratio,-0.4829,0.2724,-0.2143,7
NDI vs NVI,-0.5331,0.2179,-0.2143,7
NDI vs DM_Balance,0.1231,0.7927,-0.0357,7
Greenwashing_Ratio vs NVI,0.9511,0.001,1.0,7
ARG vs NDI,0.5981,0.156,0.5714,7
