Year,ESG_Sentences,N_Asp_Sentences,N_Ops_Sentences,NOS_Overall,NOS_Aspirational,NOS_Operational,ARG,Emissions,DeltaEmit_YoY_%,EPD,NDI,Impact_Pct,Financial_Pct,DM_Balance,CSRD_Flag,commitment_claims_density,operational_delivery_density,Greenwashing_Ratio,NVI,KeyBERT_Top10
2019,732,92,132,0.196435,0.122377,0.37595,-0.126786,65.0,0.0,-0.0,-0.063393,31.83,30.05,1.78,GREEN,24.4687,4.9546,4.9386,0.663219,
2020,536,94,97,0.154372,0.140756,0.267894,-0.063569,58.0,10.7692,-0.973428,-0.518499,28.17,26.68,1.49,GREEN,25.2117,3.6777,6.8553,0.745394,
2021,636,127,93,0.206193,0.216188,0.300888,-0.04235,58.0,0.0,-0.0,-0.021175,30.03,27.99,2.04,GREEN,27.3514,5.0396,5.4273,0.688827,
2022,628,166,61,0.162567,0.218657,0.223968,-0.002655,60.0,-3.4483,0.597764,0.297554,32.48,28.5,3.98,GREEN,30.5216,4.2498,7.1819,0.755558,
2023,869,134,235,0.011462,0.079251,0.028753,0.025249,38.0,36.6667,-0.999999,-0.487375,22.67,25.32,2.65,GREEN,16.6671,9.1041,1.8307,0.293467,
2024,1339,203,303,-0.071073,-0.026041,-0.012422,-0.00681,16.0,57.8947,-1.0,-0.503405,21.51,24.57,3.06,GREEN,16.1296,6.4809,2.4888,0.426735,
2025,955,124,264,-0.03633,-0.007856,0.018131,-0.012993,4.0,75.0,-1.0,-0.506497,23.25,25.45,2.2,GREEN,17.3574,8.2976,2.0919,0.35314,
